room,building,seats,type,status,free_from,free_until,bookings_that_day
CAB G 051,CAB,90,Lecture hall,BUSY,13:00,16:00,00:00-08:00 closed/not bookable; 10:00-12:00 Physically-Based Simulation in Computer Graphics; 12:00-13:00 Seminar in Theoretical Computer Science; 13:00-16:00 Applied Biostatistics; 16:00-17:00 Physically-Based Simulation in Computer Graphics; 17:00-18:00 Privacy Enhancing Technologies; 20:00-23:59 closed/not bookable
CAB G 052,CAB,40,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-12:00 Elektrotechnik I; 12:00-14:00 Interview-Übungen für 252-0025-01L Diskrete Mathmatik; 14:00-16:00 Diskrete Mathematik; 16:00-18:00 Advanced Topics in Embodied Intelligence; 20:00-23:59 closed/not bookable
CAB G 056,CAB,40,Seminars / Courses,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 10:00-12:00 Elektrotechnik I; 14:00-16:00 Mathematik I: Analysis I und Lineare Algebra; 16:00-18:00 Signal- und Systemtheorie I; 20:00-23:59 closed/not bookable
CAB G 057,CAB,24,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-12:00 Health Economics; 12:00-14:00 Interview-Übungen für 252-0025-01L Diskrete Mathmatik; 14:00-16:00 Theoretische Informatik; 16:00-18:00 Projects in Topological Data Analysis; 20:00-23:59 closed/not bookable
CAB G 059,CAB,42,Lecture hall,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Alien Organisms in Agriculture; 10:00-12:00 Guarantees for Machine Learning; 14:00-16:00 Theoretische Informatik; 16:00-18:00 Informatik; 20:00-23:59 closed/not bookable
CAB G 061,CAB,193,Lecture hall,BUSY,12:00,20:00,00:00-08:00 closed/not bookable; 08:00-12:00 Power Market I - Portfolio and Risk Management; 13:00-16:00 Biomedical Imaging; 20:00-23:59 closed/not bookable
CHN D 029,CHN,30,Seminars / Courses,BUSY,13:00,16:00,00:00-08:00 closed/not bookable; 09:00-10:00 Environmental Systems Data Science: Data Processing; 10:00-12:00 Cloud Microphysics; 12:00-13:00 Cloud Microphysics; 14:00-16:00 Diskrete Mathematik; 16:00-17:00 Materials and Mechanics in Medicine; 20:00-23:59 closed/not bookable
CHN D 042,CHN,30,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-12:00 Advanced Ecological Processes; 12:00-14:00 Interview-Übungen für 252-0025-01L Diskrete Mathmatik; 14:00-16:00 Food Enzymology; 16:00-18:00 Algorithms Lab; 18:00-20:00 Algorithms Lab; 20:00-23:59 closed/not bookable
CHN D 044,CHN,30,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 09:00-10:00 Environmental Systems Data Science: Data Processing; 11:00-12:00 Environmental Governance; 12:00-14:00 Interview-Übungen für 252-0025-01L Diskrete Mathmatik; 14:00-16:00 Technische Mechanik; 16:00-18:00 Grundzüge des Naturgefahrenmanagements; 20:00-23:59 closed/not bookable
CHN D 046,CHN,30,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 09:00-10:00 Environmental Systems Data Science: Data Processing; 10:00-12:00 Physical Medicine and Rehabilitation; 12:00-14:00 Interview-Übungen für 252-0025-01L Diskrete Mathmatik; 14:00-16:00 Diskrete Mathematik; 16:00-18:00 Agroecology; 20:00-23:59 closed/not bookable
CHN D 048,CHN,30,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-12:00 M. Vorbrugg – German 4: A2.2; 12:00-14:00 M. Vorbrugg – German B1.2; 14:00-16:00 Mathematik I; 16:00-18:00 Informatik; 20:00-23:59 closed/not bookable
CHN E 042,CHN,60,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 09:00-11:00 Europäische Integration: Seminar; 11:00-12:00 Europäische Integration: Tutorat; 12:00-14:00 Motor Neurorehabilitation; 14:00-16:00 Land-Climate Dynamics; 16:00-18:00 Informatik; 20:00-23:59 closed/not bookable
CHN E 046,CHN,70,Seminars / Courses,BUSY,13:00,20:00,00:00-08:00 closed/not bookable; 10:00-13:00 Environmental Governance; 14:00-18:00 Environmental Measurement Laboratory; 20:00-23:59 closed/not bookable
CHN F 042,CHN,54,Seminars / Courses,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Umweltrecht; 10:00-12:00 Grundzüge des Naturgefahrenmanagements; 14:00-16:00 Isotopes and Biomarkers in Biogeochemistry; 16:00-18:00 Seminar in Evolutionary Ecology of Infectious Diseases; 20:00-23:59 closed/not bookable
CHN F 046,CHN,60,Seminars / Courses,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 09:00-10:00 Environmental Systems Data Science: Data Processing; 10:00-12:00 Introduction to Environmental Organic Chemistry; 14:00-16:00 Seminar on Game Technology; 16:00-18:00 Human Computer Interaction; 20:00-23:59 closed/not bookable
CHN G 042,CHN,70,Seminars / Courses,BUSY,11:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-11:00 Biostatistics; 13:00-16:00 Visual Computing; 16:00-18:00 The Psychology of Climate Change Communication: Theoretical Insights and Practical Applications; 20:00-23:59 closed/not bookable
CHN G 046,CHN,30,Seminars / Courses,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Ecological Parasitology; 10:00-12:00 Elektrotechnik I; 14:00-16:00 Research Topics in Software Engineering; 16:00-17:00 Materials and Mechanics in Medicine; 20:00-23:59 closed/not bookable
CLA E 004,CLA,36,Seminars / Courses,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 S. Perotti – Intermediate German B1; Course for Professors; 10:00-12:00 Biogeochemistry of Trace Elements; 14:00-16:00 Mathematik I: Analysis I und Lineare Algebra; 16:00-18:00 Lineare Algebra; 20:00-23:59 closed/not bookable
ETA F 005,ETA,516,Lecture hall,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Lineare Algebra; 10:00-12:00 Lineare Algebra I; 14:00-16:00 Mechanik I; 16:00-18:00 Principles of Macroeconomics; 20:00-23:59 closed/not bookable
ETF C 001,ETF,301,Lecture hall,BUSY,13:00,20:00,00:00-08:00 closed/not bookable; 08:00-10:00 VLSI 1: HDL Based Design for FPGAs; 10:00-13:00 Technische Mechanik; 14:00-16:00 Bayesian Statistics; 20:00-23:59 closed/not bookable
ETF E 001,ETF,301,Lecture hall,BUSY,12:00,20:00,00:00-08:00 closed/not bookable; 10:00-12:00 Lineare Algebra I; 14:00-16:00 Mechanik I; 20:00-23:59 closed/not bookable
ETZ D 061.1,ETZ,,Computer,BUSY,08:00,20:00,00:00-08:00 closed/not bookable; 13:00-16:00 VLSI 1: HDL Based Design for FPGAs; 20:00-23:59 closed/not bookable
ETZ D 061.2,ETZ,,Computer,BUSY,08:00,20:00,00:00-08:00 closed/not bookable; 13:00-16:00 VLSI 1: HDL Based Design for FPGAs; 20:00-23:59 closed/not bookable
ETZ D 096.1,ETZ,,Computer,BUSY,08:00,20:00,00:00-08:00 closed/not bookable; 13:00-16:00 VLSI 1: HDL Based Design for FPGAs; 20:00-23:59 closed/not bookable
ETZ E 006,ETZ,73,Lecture hall,BUSY,12:00,16:00,"00:00-08:00 closed/not bookable; 10:00-12:00 Grundlagen Latein, Teil 1 (von 2), 1. Gruppe; 14:00-16:00 Hardware Security; 16:00-18:00 Signal- und Systemtheorie I; 20:00-23:59 closed/not bookable"
ETZ E 007,ETZ,40,Lecture hall,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-12:00 Data Conversion System Design; 14:00-16:00 Mathematik I; 16:00-18:00 Lineare Algebra; 18:00-19:00 Signal- und Systemtheorie I; 20:00-23:59 closed/not bookable
ETZ E 008,ETZ,61,Lecture hall,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Physiology and Anatomy for Biomedical Engineers I; 10:00-12:00 Molecular Life of Plants; 14:00-16:00 Power Electronic Systems I; 16:00-18:00 Power Electronic Systems I; 20:00-23:59 closed/not bookable
ETZ E 009,ETZ,40,Lecture hall,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 10:00-12:00 Elektrotechnik I; 14:00-16:00 Mathematik III; 16:00-18:00 Mathematik III; 20:00-23:59 closed/not bookable
